Name	Collection	Experiment	Water	Defoliation	SowingDate	FD	GrowthSeason	Rotation	StartDate	MidDate	FinishDate
Iversen_91DefoliationLL	2002_2004	Lincoln2002	irr	LL	No	FD5	1	1	14/06/2002	9/08/2002	5/10/2002
Iversen_91DefoliationLL	2002_2004	Lincoln2002	irr	LL	No	FD5	1	2	6/10/2002	26/10/2002	16/11/2002
Iversen_91DefoliationLL	2002_2004	Lincoln2002	irr	LL	No	FD5	1	3	17/11/2002	7/12/2002	28/12/2002
Iversen_91DefoliationLL	2002_2004	Lincoln2003	irr	LL	No	FD5	1	4	29/12/2002	19/01/2003	10/02/2003
Iversen_91DefoliationLL	2002_2004	Lincoln2003	irr	LL	No	FD5	1	5	11/02/2003	2/03/2003	22/03/2003
Iversen_91DefoliationLL	2002_2004	Lincoln2003	irr	LL	No	FD5	1	6	23/03/2003	13/04/2003	4/05/2003
Iversen_91DefoliationLL	2002_2004	Lincoln2003	irr	LL	No	FD5	1	7	5/05/2003	24/05/2003	12/06/2003
Iversen_91DefoliationLL	2002_2004	Lincoln2003	irr	LL	No	FD5	2	1	13/06/2003	9/08/2003	5/10/2003
Iversen_91DefoliationLL	2002_2004	Lincoln2003	irr	LL	No	FD5	2	2	6/10/2003	24/10/2003	12/11/2003
Iversen_91DefoliationLL	2002_2004	Lincoln2003	irr	LL	No	FD5	2	3	13/11/2003	5/12/2003	28/12/2003
Iversen_91DefoliationLL	2002_2004	Lincoln2004	irr	LL	No	FD5	2	4	29/12/2003	18/01/2004	7/02/2004
Iversen_91DefoliationLL	2002_2004	Lincoln2004	irr	LL	No	FD5	2	5	8/02/2004	28/02/2004	19/03/2004
Iversen_91DefoliationLL	2002_2004	Lincoln2004	irr	LL	No	FD5	2	6	20/03/2004	10/04/2004	2/05/2004
Iversen_91DefoliationLL	2002_2004	Lincoln2004	irr	LL	No	FD5	2	7	3/05/2004	22/05/2004	11/06/2004
Iversen_91DefoliationLL	2002_2004	Lincoln2004	irr	LL	No	FD5	3	1	12/06/2004	7/08/2004	3/10/2004
Iversen_8Waterdry	1997_2001	Lincoln1997	dry	LL	No	FD5	1	1	1/11/1996	27/12/1996	21/02/1997
Iversen_8Waterirr	1997_2001	Lincoln1997	irr	LL	No	FD5	1	1	1/11/1996	27/12/1996	21/02/1997
Iversen_8Waterdry	1997_2001	Lincoln1997	dry	LL	No	FD5	1	2	22/02/1997	14/04/1997	5/06/1997
Iversen_8Waterirr	1997_2001	Lincoln1997	irr	LL	No	FD5	1	2	22/02/1997	14/04/1997	5/06/1997
Iversen_8Waterdry	1997_2001	Lincoln1997	dry	LL	No	FD5	2	1	6/06/1997	6/08/1997	6/10/1997
